Filter_pos	Move_pos	Green_532nm	Blue_407nm	Red_639nm							
6	125	NaN	NaN	NaN							
 6-8	-25	6.91E-07	1.12E-07	1.33E-06							
 6-7	-50	1.17E-06	2.07E-07	2.04E-06							
 6-6	125	1.47E-06	2.45E-07	2.84E-06							
 6-5	100	1.80E-06	3.25E-07	3.43E-06							
 6-4	75	2.32E-06	4.20E-07	4.27E-06							
 6-3	50	2.50E-06	4.55E-07	4.65E-06							
 6-2	25	2.83E-06	4.75E-07	5.39E-06							
 6-1	0	3.48E-06	5.78E-07	6.86E-06							
 8-8	175	6.59E-06	2.56E-06	1.00E-05							
 8-7	150	1.12E-05	4.65E-06	1.55E-05							
 8-6	125	1.41E-05	5.61E-06	2.16E-05							
 8-5	100	1.75E-05	7.33E-06	2.60E-05							
 8-4	75	2.23E-05	9.53E-06	3.24E-05							
 8-3	50	2.40E-05	1.04E-05	3.52E-05							
 8-2	25	2.72E-05	1.12E-05	4.11E-05							
 8-1	0	3.33E-05	1.34E-05	5.25E-05							
5	-87	NaN	NaN	NaN							
 5-8	-25	2.12E-05	8.80E-06	3.11E-05							
 5-7	-50	3.62E-05	1.63E-05	4.75E-05							
 5-6	-75	4.47E-05	1.96E-05	6.66E-05							
 5-5	100	5.54E-05	2.53E-05	8.03E-05							
 5-4	75	7.02E-05	3.34E-05	1.03E-04							
 5-3	50	7.64E-05	3.62E-05	1.08E-04							
 5-2	25	8.66E-05	3.91E-05	1.27E-04							
 5-1	0	1.07E-04	4.69E-05	1.67E-04							
4	-112	NaN	NaN	NaN							
 4-8	-25	1.92E-04	1.06E-04	2.53E-04							
 4-7	-50	3.27E-04	1.96E-04	3.86E-04							
 4-6	-75	4.05E-04	2.34E-04	5.41E-04							
 4-5	-100	5.00E-04	3.04E-04	6.48E-04							
 4-4	75	6.33E-04	4.02E-04	8.07E-04							
 4-3	50	6.90E-04	4.36E-04	8.75E-04							
 4-2	25	7.81E-04	4.71E-04	1.03E-03							
 4-1	0	9.66E-04	5.64E-04	1.31E-03							
3	-137	NaN	NaN	NaN							
 3-8	-25	1.95E-03	1.55E-03	2.04E-03							
 3-7	-50	3.38E-03	2.87E-03	3.24E-03							
 3-6	-75	4.01E-03	3.44E-03	4.36E-03							
 3-5	-100	5.13E-03	4.50E-03	5.43E-03							
 3-4	-125	6.49E-03	5.92E-03	6.54E-03							
 3-3	50	7.00E-03	6.43E-03	7.08E-03							
 3-2	25	7.90E-03	6.91E-03	8.30E-03							
 3-1	0	9.74E-03	8.26E-03	1.06E-02							
2	-162	NaN	NaN	NaN							
 2-8	-25	1.83E-02	1.76E-02	1.74E-02							
 2-7	-50	3.27E-02	3.25E-02	2.74E-02							
 2-6	-75	3.82E-02	3.89E-02	3.80E-02							
 2-5	-100	4.99E-02	5.02E-02	4.48E-02							
 2-4	-125	6.39E-02	6.68E-02	5.74E-02							
 2-3	-150	6.61E-02	7.20E-02	6.24E-02							
 2-2	25	7.55E-02	7.61E-02	7.01E-02							
 2-1	0	9.25E-02	9.20E-02	8.97E-02							
1	-187	NaN	NaN	NaN							
 1-8	-25	1.85E-01	1.86E-01	1.87E-01							
 1-7	-50	3.18E-01	3.38E-01	2.94E-01							
 1-6	-75	3.81E-01	4.12E-01	4.12E-01							
 1-5	-100	4.93E-01	5.14E-01	5.01E-01							
 1-4	-125	6.26E-01	6.92E-01	6.20E-01							
 1-3	-150	6.57E-01	7.46E-01	6.46E-01							
 1-2	-175	7.65E-01	8.33E-01	7.70E-01							
 1-1	0	1.00E+00	1.00E+00	1.00E+00							
											
											
